generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
106,0.019434820733992268,0.05610339631322062,1.856935694958877,0.7547002034233571,0.04597661776461655,0.23449708622470603,1.0,0.0,1.0,0.0,5444514.196658509,407.8542857142857,0,0.0,0.0,0.0,980.3573314285717,156440.54866596265
107,0.019434820733992268,0.05610339631322062,1.856935694958877,0.7547002034233571,0.04597661776461655,0.23449708622470603,1.0,0.0,1.0,0.0,5444514.196658509,407.8542857142857,0,0.0,0.0,0.0,980.2071771428576,156321.9800730685
108,0.019434820733992268,0.05610339631322062,1.856935694958877,0.7547002034233571,0.04597661776461655,0.23449708622470603,1.0,0.0,1.0,0.0,5444514.196658509,407.8542857142857,0,0.0,0.0,0.0,978.7056342857146,156518.39108723376
109,0.019434820733992268,0.05610339631322062,1.856935694958877,0.7547002034233571,0.04597661776461655,0.23449708622470603,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,976.9037828571433,156551.06735300514
110,0.02445223155570492,0.059752916262263034,1.7769485390006206,0.7153277853935364,0.05192350209570381,0.23398479872080963,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,977.8047085714289,156674.46657320613
111,0.02445223155570492,0.059752916262263034,1.7769485390006206,0.7153277853935364,0.05192350209570381,0.23398479872080963,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,980.157125714286,157017.77463944664
112,0.02445223155570492,0.059752916262263034,1.7769485390006206,0.7153277853935364,0.05192350209570381,0.23398479872080963,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,983.1602114285719,157022.18607370433
113,0.02445223155570492,0.059752916262263034,1.7769485390006206,0.7153277853935364,0.05192350209570381,0.23398479872080963,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,983.5105714285718,157014.78084015925
114,0.02445223155570492,0.059752916262263034,1.7769485390006206,0.7153277853935364,0.05192350209570381,0.23398479872080963,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,981.6586685714287,157132.919579494
115,0.025855841958058488,0.06197678242427367,1.7343382863183388,0.7029957272523117,0.0775902871066283,0.28518838327005613,1.0,0.0,1.0,0.0,5444328.605461465,407.8542857142857,0,0.0,0.0,0.0,980.0570228571432,157145.19211280873
116,0.025855841958058488,0.06197678242427367,1.7343382863183388,0.7029957272523117,0.0775902871066283,0.28518838327005613,1.0,0.0,1.0,0.0,5443021.432778962,407.8542857142857,0,0.0,0.0,0.0,979.5314828571431,156800.09578547667
