generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
83,0.04090205499701002,0.10745902143626483,1.3544598487787491,0.47522057649386673,0.024944586439891486,0.10343010694659925,1.0,0.0,1.0,0.0,5377876.2460614,407.8542857142857,0,0.0,0.0,0.0,1219.8937922491525,148139.11963134652
84,0.04090205499701002,0.10745902143626483,1.3544598487787491,0.47522057649386673,0.024944586439891486,0.10343010694659925,1.0,0.0,1.0,0.0,5375924.998447991,407.8542857142857,0,0.0,0.0,0.0,1219.3858497945992,148345.98709010278
85,0.04839630445846163,0.11046161849248373,1.3068828835103703,0.4752269833387399,0.015289679777520153,0.053288354743441076,1.0,0.0,1.0,0.0,5375924.998447991,407.8542857142857,0,0.0,0.0,0.0,1219.8570233721073,148445.5222132127
86,0.04839630445846163,0.11046161849248373,1.3068828835103703,0.4752269833387399,0.015289679777520153,0.053288354743441076,1.0,0.0,1.0,0.0,5375924.998447991,407.8542857142857,0,0.0,0.0,0.0,1219.066364529956,148583.06351822696
87,0.04839630445846163,0.11046161849248373,1.3068828835103703,0.4752269833387399,0.015289679777520153,0.053288354743441076,1.0,0.0,1.0,0.0,5375924.998447991,407.8542857142857,0,0.0,0.0,0.0,1219.4948432349033,148707.22458520607
88,0.04839630445846163,0.11046161849248373,1.3068828835103703,0.4752269833387399,0.015289679777520153,0.053288354743441076,1.0,0.0,1.0,0.0,5375665.455648254,407.8542857142857,0,0.0,0.0,0.0,1219.161785622698,148720.07931515537
89,0.04839630445846163,0.11046161849248373,1.3068828835103703,0.4752269833387399,0.015289679777520153,0.053288354743441076,1.0,0.0,1.0,0.0,5375665.455648254,407.8542857142857,0,0.0,0.0,0.0,1219.0339822918372,148837.63416653968
90,0.05688613152884007,0.12098184067435902,1.267383558995475,0.48098754496466656,0.0024671438479399147,0.0021665316821705264,1.0,0.0,1.0,0.0,5374781.336667487,407.8542857142857,0,0.0,0.0,0.0,1218.9491313858168,148872.22864380124
91,0.05688613152884007,0.12098184067435902,1.267383558995475,0.48098754496466656,0.0024671438479399147,0.0021665316821705264,1.0,0.0,1.0,0.0,5374781.336667487,407.8542857142857,0,0.0,0.0,0.0,1217.0709348777405,148935.18676845703
92,0.05688613152884007,0.12098184067435902,1.267383558995475,0.48098754496466656,0.0024671438479399147,0.0021665316821705264,1.0,0.0,1.0,0.0,5374781.336667487,407.8542857142857,0,0.0,0.0,0.0,1215.0356684087367,148893.93352986843
93,0.05688613152884007,0.12098184067435902,1.267383558995475,0.48098754496466656,0.0024671438479399147,0.0021665316821705264,1.0,0.0,1.0,0.0,5374136.570500951,407.8542857142857,0,0.0,0.0,0.0,1211.0065452599308,148804.29792318435
94,0.05688613152884007,0.12098184067435902,1.267383558995475,0.48098754496466656,0.0024671438479399147,0.0021665316821705264,1.0,0.0,1.0,0.0,5374136.570500951,407.8542857142857,0,0.0,0.0,0.0,1206.9881856610377,148951.4340264862
95,0.059931937379052204,0.12238345075567758,1.2305392237110722,0.4669925956109109,0.011955840802466767,0.053878594067220315,1.0,0.0,1.0,0.0,5373288.674867735,407.8542857142857,0,0.0,0.0,0.0,1201.0008396858648,148807.51135147424
96,0.059931937379052204,0.12238345075567758,1.2305392237110722,0.4669925956109109,0.011955840802466767,0.053878594067220315,1.0,0.0,1.0,0.0,5370107.4710906055,407.8542857142857,0,0.0,0.0,0.0,1190.8603369967136,148678.6094047189
97,0.059931937379052204,0.12238345075567758,1.2305392237110722,0.4669925956109109,0.011955840802466767,0.053878594067220315,1.0,0.0,1.0,0.0,5370107.4710906055,407.8542857142857,0,0.0,0.0,0.0,1185.0752301941163,148604.06891676664
98,0.059931937379052204,0.12238345075567758,1.2305392237110722,0.4669925956109109,0.011955840802466767,0.053878594067220315,1.0,0.0,1.0,0.0,5369501.164370609,407.8542857142857,0,0.0,0.0,0.0,1180.5512009061244,148567.65819528035
99,0.059931937379052204,0.12238345075567758,1.2305392237110722,0.4669925956109109,0.011955840802466767,0.053878594067220315,1.0,0.0,1.0,0.0,5366064.658479752,407.8542857142857,0,0.0,0.0,0.0,1172.2519906319344,148367.47222598424
100,0.066056514375131,0.13480427813907886,1.2076661118398178,0.472619076530799,0.00387271330016834,0.009347173806803341,1.0,0.0,1.0,0.0,5366064.658479752,407.8542857142857,0,0.0,0.0,0.0,1166.33261910462,148365.26814471118
